id,fish,year,biomass,F
4009,Snowy grouper Southern Atlantic coast,1989,0.661,0.393
4010,Snowy grouper Southern Atlantic coast,1990,0.605,0.49
4011,Snowy grouper Southern Atlantic coast,1991,0.543,0.419
4012,Snowy grouper Southern Atlantic coast,1992,0.502,0.626
4013,Snowy grouper Southern Atlantic coast,1993,0.441,0.68
4014,Snowy grouper Southern Atlantic coast,1994,0.471,0.417
4015,Snowy grouper Southern Atlantic coast,1995,0.551,0.527
4016,Snowy grouper Southern Atlantic coast,1996,0.558,0.322
4017,Snowy grouper Southern Atlantic coast,1997,0.567,0.649
4018,Snowy grouper Southern Atlantic coast,1998,0.485,0.3
4019,Snowy grouper Southern Atlantic coast,1999,0.497,0.444
4020,Snowy grouper Southern Atlantic coast,2000,0.488,0.395
4021,Snowy grouper Southern Atlantic coast,2001,0.493,0.402
4022,Snowy grouper Southern Atlantic coast,2002,0.528,0.266
4023,Snowy grouper Southern Atlantic coast,2003,0.552,0.198
4024,Snowy grouper Southern Atlantic coast,2004,0.544,0.244
4025,Snowy grouper Southern Atlantic coast,2005,0.507,0.271
4026,Snowy grouper Southern Atlantic coast,2006,0.441,0.28
4027,Snowy grouper Southern Atlantic coast,2007,0.381,0.128
4028,Snowy grouper Southern Atlantic coast,2008,0.382,0.0855
4029,Snowy grouper Southern Atlantic coast,2009,0.425,0.118
4030,Snowy grouper Southern Atlantic coast,2010,0.45,0.115
4031,Snowy grouper Southern Atlantic coast,2011,0.465,0.03
4032,Snowy grouper Southern Atlantic coast,2012,0.542,0.18
4033,Snowy grouper Southern Atlantic coast,2013,0.574,NA
4034,Southern bluefin tuna Southern Oceans,1950,3.17,NA
4035,Southern bluefin tuna Southern Oceans,1951,3.26,NA
4036,Southern bluefin tuna Southern Oceans,1952,3.8,NA
4037,Southern bluefin tuna Southern Oceans,1953,3.02,NA
4038,Southern bluefin tuna Southern Oceans,1954,3.09,NA
4039,Southern bluefin tuna Southern Oceans,1955,3.14,NA
4040,Southern bluefin tuna Southern Oceans,1956,2.83,NA
4041,Southern bluefin tuna Southern Oceans,1957,2.89,NA
4042,Southern bluefin tuna Southern Oceans,1958,2.53,NA
4043,Southern bluefin tuna Southern Oceans,1959,2.46,NA
4044,Southern bluefin tuna Southern Oceans,1960,1.99,NA
4045,Southern bluefin tuna Southern Oceans,1961,1.82,NA
4046,Southern bluefin tuna Southern Oceans,1962,1.75,NA
4047,Southern bluefin tuna Southern Oceans,1963,1.68,NA
4048,Southern bluefin tuna Southern Oceans,1964,1.51,NA
4049,Southern bluefin tuna Southern Oceans,1965,1.47,NA
4050,Southern bluefin tuna Southern Oceans,1966,1.55,NA
4051,Southern bluefin tuna Southern Oceans,1967,1.62,NA
4052,Southern bluefin tuna Southern Oceans,1968,1.66,NA
4053,Southern bluefin tuna Southern Oceans,1969,1.6,NA
4054,Southern bluefin tuna Southern Oceans,1970,1.65,NA
4055,Southern bluefin tuna Southern Oceans,1971,1.54,NA
4056,Southern bluefin tuna Southern Oceans,1972,1.42,NA
4057,Southern bluefin tuna Southern Oceans,1973,1.32,NA
4058,Southern bluefin tuna Southern Oceans,1974,1.21,NA
4059,Southern bluefin tuna Southern Oceans,1975,1.11,NA
4060,Southern bluefin tuna Southern Oceans,1976,1.12,NA
4061,Southern bluefin tuna Southern Oceans,1977,1.06,NA
4062,Southern bluefin tuna Southern Oceans,1978,1.03,NA
4063,Southern bluefin tuna Southern Oceans,1979,1.05,NA
4064,Southern bluefin tuna Southern Oceans,1980,1.03,NA
4065,Southern bluefin tuna Southern Oceans,1981,0.96,NA
4066,Southern bluefin tuna Southern Oceans,1982,0.89,NA
4067,Southern bluefin tuna Southern Oceans,1983,0.85,NA
4068,Southern bluefin tuna Southern Oceans,1984,0.83,NA
4069,Southern bluefin tuna Southern Oceans,1985,0.81,NA
4070,Southern bluefin tuna Southern Oceans,1986,0.77,NA
4071,Southern bluefin tuna Southern Oceans,1987,0.72,NA
4072,Southern bluefin tuna Southern Oceans,1988,0.68,NA
4073,Southern bluefin tuna Southern Oceans,1989,0.64,NA
4074,Southern bluefin tuna Southern Oceans,1990,0.57,NA
4075,Southern bluefin tuna Southern Oceans,1991,0.49,NA
4076,Southern bluefin tuna Southern Oceans,1992,0.43,NA
4077,Southern bluefin tuna Southern Oceans,1993,0.38,NA
4078,Southern bluefin tuna Southern Oceans,1994,0.33,NA
4079,Southern bluefin tuna Southern Oceans,1995,0.28,NA
4080,Southern bluefin tuna Southern Oceans,1996,0.25,NA
4081,Southern bluefin tuna Southern Oceans,1997,0.24,NA
4082,Southern bluefin tuna Southern Oceans,1998,0.24,NA
4083,Southern bluefin tuna Southern Oceans,1999,0.23,NA
4084,Southern bluefin tuna Southern Oceans,2000,0.25,NA
4085,Southern bluefin tuna Southern Oceans,2001,0.26,NA
4086,Southern bluefin tuna Southern Oceans,2002,0.24,NA
4087,Southern bluefin tuna Southern Oceans,2003,0.23,NA
4088,Southern bluefin tuna Southern Oceans,2004,0.22,NA
4089,Southern bluefin tuna Southern Oceans,2005,0.21,NA
4090,Southern bluefin tuna Southern Oceans,2006,0.22,NA
4091,Southern bluefin tuna Southern Oceans,2007,0.23,NA
4092,Southern bluefin tuna Southern Oceans,2008,0.23,NA
4093,Southern bluefin tuna Southern Oceans,2009,0.23,NA
4094,Southern bluefin tuna Southern Oceans,2010,0.23,NA
4095,Southern bluefin tuna Southern Oceans,2011,0.23,NA
4096,Southern hake Chatham Rise,1975,0.767,NA
4097,Southern hake Chatham Rise,1976,0.765,NA
4098,Southern hake Chatham Rise,1977,0.75,NA
4099,Southern hake Chatham Rise,1978,0.742,NA
4100,Southern hake Chatham Rise,1979,0.74,NA
4101,Southern hake Chatham Rise,1980,0.742,NA
4102,Southern hake Chatham Rise,1981,0.752,NA
4103,Southern hake Chatham Rise,1982,0.759,NA
4104,Southern hake Chatham Rise,1983,0.787,NA
4105,Southern hake Chatham Rise,1984,0.821,NA
4106,Southern hake Chatham Rise,1985,0.848,NA
4107,Southern hake Chatham Rise,1986,0.87,NA
4108,Southern hake Chatham Rise,1987,0.889,NA
4109,Southern hake Chatham Rise,1988,0.904,NA
4110,Southern hake Chatham Rise,1989,0.906,NA
4111,Southern hake Chatham Rise,1990,0.887,NA
4112,Southern hake Chatham Rise,1991,0.859,NA
4113,Southern hake Chatham Rise,1992,0.827,NA
4114,Southern hake Chatham Rise,1993,0.763,NA
4115,Southern hake Chatham Rise,1994,0.705,NA
4116,Southern hake Chatham Rise,1995,0.656,NA
4117,Southern hake Chatham Rise,1996,0.615,NA
4118,Southern hake Chatham Rise,1997,0.586,NA
4119,Southern hake Chatham Rise,1998,0.571,NA
4120,Southern hake Chatham Rise,1999,0.545,NA
4121,Southern hake Chatham Rise,2000,0.509,NA
4122,Southern hake Chatham Rise,2001,0.477,NA
4123,Southern hake Chatham Rise,2002,0.442,NA
4124,Southern hake Chatham Rise,2003,0.419,NA
4125,Southern hake Chatham Rise,2004,0.389,NA
4126,Southern hake Chatham Rise,2005,0.344,NA
4127,Southern hake Chatham Rise,2006,0.323,NA
4128,Southern hake Chatham Rise,2007,0.333,NA
4129,Southern hake Chatham Rise,2008,0.351,NA
4130,Southern hake Chatham Rise,2009,0.357,NA
4132,Striped marlin North Pacific,1952,3.91,0.146
4133,Striped marlin North Pacific,1953,3.75,0.093
4134,Striped marlin North Pacific,1954,3.82,0.133
4135,Striped marlin North Pacific,1955,3.75,0.123
4136,Striped marlin North Pacific,1956,3.71,0.175
4137,Striped marlin North Pacific,1957,3.47,0.195
4138,Striped marlin North Pacific,1958,3.24,0.245
4139,Striped marlin North Pacific,1959,2.92,0.26
4140,Striped marlin North Pacific,1960,2.67,0.215
4141,Striped marlin North Pacific,1961,2.64,0.223
4142,Striped marlin North Pacific,1962,2.6,0.299
4143,Striped marlin North Pacific,1963,2.42,0.313
4144,Striped marlin North Pacific,1964,2.25,0.669
4145,Striped marlin North Pacific,1965,1.5,0.714
4146,Striped marlin North Pacific,1966,1.14,0.47
4147,Striped marlin North Pacific,1967,1.18,0.499
4148,Striped marlin North Pacific,1968,1.19,0.518
4149,Striped marlin North Pacific,1969,1.61,0.315
4150,Striped marlin North Pacific,1970,2.85,0.237
4151,Striped marlin North Pacific,1971,3.77,0.239
4152,Striped marlin North Pacific,1972,4.01,0.196
4153,Striped marlin North Pacific,1973,4.02,0.274
4154,Striped marlin North Pacific,1974,3.61,0.308
4155,Striped marlin North Pacific,1975,3.1,0.385
4156,Striped marlin North Pacific,1976,2.34,0.393
4157,Striped marlin North Pacific,1977,1.83,0.412
4158,Striped marlin North Pacific,1978,1.42,0.345
4159,Striped marlin North Pacific,1979,1.25,0.477
4160,Striped marlin North Pacific,1980,1.09,0.527
4161,Striped marlin North Pacific,1981,1.07,0.493
4162,Striped marlin North Pacific,1982,1.22,0.49
4163,Striped marlin North Pacific,1983,1.18,0.476
4164,Striped marlin North Pacific,1984,1.19,0.403
4165,Striped marlin North Pacific,1985,1.16,0.534
4166,Striped marlin North Pacific,1986,1.17,0.582
4167,Striped marlin North Pacific,1987,1.16,0.682
4168,Striped marlin North Pacific,1988,1.03,0.689
4169,Striped marlin North Pacific,1989,0.756,0.735
4170,Striped marlin North Pacific,1990,0.755,0.525
4171,Striped marlin North Pacific,1991,0.852,0.505
4172,Striped marlin North Pacific,1992,0.781,0.581
4173,Striped marlin North Pacific,1993,0.769,0.659
4174,Striped marlin North Pacific,1994,0.76,0.646
4175,Striped marlin North Pacific,1995,0.744,0.68
4176,Striped marlin North Pacific,1996,0.6,0.699
4177,Striped marlin North Pacific,1997,0.556,0.756
4178,Striped marlin North Pacific,1998,0.545,0.879
4179,Striped marlin North Pacific,1999,0.465,0.707
4180,Striped marlin North Pacific,2000,0.458,0.677
4181,Striped marlin North Pacific,2001,0.496,0.631
4182,Striped marlin North Pacific,2002,0.419,0.678
4183,Striped marlin North Pacific,2003,0.388,0.721
4184,Striped marlin North Pacific,2004,0.387,0.677
4209,Striped marlin Western and Central North Pacific,1975,1.88,0.814
4210,Striped marlin Western and Central North Pacific,1976,1.47,0.614
4211,Striped marlin Western and Central North Pacific,1977,1.32,0.816
4212,Striped marlin Western and Central North Pacific,1978,1.01,1.46
4213,Striped marlin Western and Central North Pacific,1979,0.68,0.804
4214,Striped marlin Western and Central North Pacific,1980,1,0.726
4215,Striped marlin Western and Central North Pacific,1981,1.23,0.656
4216,Striped marlin Western and Central North Pacific,1982,1.22,0.53
4217,Striped marlin Western and Central North Pacific,1983,1.28,0.528
4218,Striped marlin Western and Central North Pacific,1984,1.09,0.886
4219,Striped marlin Western and Central North Pacific,1985,0.99,0.675
4220,Striped marlin Western and Central North Pacific,1986,1.32,0.684
4221,Striped marlin Western and Central North Pacific,1987,1.44,0.587
4222,Striped marlin Western and Central North Pacific,1988,1.22,0.866
4223,Striped marlin Western and Central North Pacific,1989,1.1,0.646
4224,Striped marlin Western and Central North Pacific,1990,1.1,0.629
4225,Striped marlin Western and Central North Pacific,1991,1.12,0.596
4226,Striped marlin Western and Central North Pacific,1992,1.18,0.551
4227,Striped marlin Western and Central North Pacific,1993,1.19,0.683
4228,Striped marlin Western and Central North Pacific,1994,1.06,0.769
4229,Striped marlin Western and Central North Pacific,1995,0.83,1.02
4230,Striped marlin Western and Central North Pacific,1996,0.58,0.935
4231,Striped marlin Western and Central North Pacific,1997,0.48,1
4232,Striped marlin Western and Central North Pacific,1998,0.44,1.28
4233,Striped marlin Western and Central North Pacific,1999,0.41,1.17
4234,Striped marlin Western and Central North Pacific,2000,0.35,1.26
4235,Striped marlin Western and Central North Pacific,2001,0.33,1.12
4236,Striped marlin Western and Central North Pacific,2002,0.4,0.837
4237,Striped marlin Western and Central North Pacific,2003,0.49,0.747
4238,Striped marlin Western and Central North Pacific,2004,0.64,0.58
4239,Striped marlin Western and Central North Pacific,2005,0.74,0.56
4240,Striped marlin Western and Central North Pacific,2006,0.73,0.62
4241,Striped marlin Western and Central North Pacific,2007,0.67,0.58
4242,Striped marlin Western and Central North Pacific,2008,0.6,0.86
4243,Striped marlin Western and Central North Pacific,2009,0.41,0.84
4244,Striped marlin Western and Central North Pacific,2010,0.35,0.75
4287,Summer flounder Mid-Atlantic Coast,1982,0.389,0.79
4288,Summer flounder Mid-Atlantic Coast,1983,0.372,1.04
4289,Summer flounder Mid-Atlantic Coast,1984,0.299,1.18
4290,Summer flounder Mid-Atlantic Coast,1985,0.295,1.1
4291,Summer flounder Mid-Atlantic Coast,1986,0.294,1.29
4292,Summer flounder Mid-Atlantic Coast,1987,0.303,1.12
4293,Summer flounder Mid-Atlantic Coast,1988,0.162,1.54
4294,Summer flounder Mid-Atlantic Coast,1989,0.0885,1.24
4295,Summer flounder Mid-Atlantic Coast,1990,0.149,0.875
4296,Summer flounder Mid-Atlantic Coast,1991,0.181,1.04
4297,Summer flounder Mid-Atlantic Coast,1992,0.184,1.04
4298,Summer flounder Mid-Atlantic Coast,1993,0.205,0.959
4299,Summer flounder Mid-Atlantic Coast,1994,0.222,0.906
4300,Summer flounder Mid-Atlantic Coast,1995,0.283,1.75
4301,Summer flounder Mid-Atlantic Coast,1996,0.363,1.36
4302,Summer flounder Mid-Atlantic Coast,1997,0.404,0.849
4303,Summer flounder Mid-Atlantic Coast,1998,0.423,0.764
4304,Summer flounder Mid-Atlantic Coast,1999,0.457,0.552
4305,Summer flounder Mid-Atlantic Coast,2000,0.567,0.569
4306,Summer flounder Mid-Atlantic Coast,2001,0.652,0.479
4307,Summer flounder Mid-Atlantic Coast,2002,0.746,0.425
4308,Summer flounder Mid-Atlantic Coast,2003,0.844,0.399
4309,Summer flounder Mid-Atlantic Coast,2004,0.812,0.446
4310,Summer flounder Mid-Atlantic Coast,2005,0.763,0.451
4311,Summer flounder Mid-Atlantic Coast,2006,0.789,0.33
4312,Summer flounder Mid-Atlantic Coast,2007,0.778,0.263
4313,Summer flounder Mid-Atlantic Coast,2008,0.784,0.312
4314,Summer flounder Mid-Atlantic Coast,2009,0.827,0.3
4315,Summer flounder Mid-Atlantic Coast,2010,0.852,0.312
4316,Summer flounder Mid-Atlantic Coast,2011,0.819,0.359
4317,Summer flounder Mid-Atlantic Coast,2012,0.821,0.285
4318,Tanner crab Bering Sea and Aleutian Islands,1949,0,NA
4319,Tanner crab Bering Sea and Aleutian Islands,1950,0,NA
4320,Tanner crab Bering Sea and Aleutian Islands,1951,0.00298,NA
4321,Tanner crab Bering Sea and Aleutian Islands,1952,0.0328,NA
4322,Tanner crab Bering Sea and Aleutian Islands,1953,0.122,NA
4323,Tanner crab Bering Sea and Aleutian Islands,1954,0.242,NA
4324,Tanner crab Bering Sea and Aleutian Islands,1955,0.337,NA
4325,Tanner crab Bering Sea and Aleutian Islands,1956,0.408,NA
4326,Tanner crab Bering Sea and Aleutian Islands,1957,0.465,NA
4327,Tanner crab Bering Sea and Aleutian Islands,1958,0.513,NA
4328,Tanner crab Bering Sea and Aleutian Islands,1959,0.555,NA
4329,Tanner crab Bering Sea and Aleutian Islands,1960,0.596,NA
4330,Tanner crab Bering Sea and Aleutian Islands,1961,0.65,NA
4331,Tanner crab Bering Sea and Aleutian Islands,1962,0.722,NA
4332,Tanner crab Bering Sea and Aleutian Islands,1963,0.838,NA
4333,Tanner crab Bering Sea and Aleutian Islands,1964,1.08,NA
4334,Tanner crab Bering Sea and Aleutian Islands,1965,1.57,0.134
4335,Tanner crab Bering Sea and Aleutian Islands,1966,2.78,0.105
4336,Tanner crab Bering Sea and Aleutian Islands,1967,4.57,0.336
4337,Tanner crab Bering Sea and Aleutian Islands,1968,6.97,0.27
4338,Tanner crab Bering Sea and Aleutian Islands,1969,8.76,0.3
4339,Tanner crab Bering Sea and Aleutian Islands,1970,9.8,0.241
4340,Tanner crab Bering Sea and Aleutian Islands,1971,10.3,0.185
4341,Tanner crab Bering Sea and Aleutian Islands,1972,10.5,0.147
4342,Tanner crab Bering Sea and Aleutian Islands,1973,10.4,0.111
4343,Tanner crab Bering Sea and Aleutian Islands,1974,9.58,0.136
4344,Tanner crab Bering Sea and Aleutian Islands,1975,8.35,0.181
4345,Tanner crab Bering Sea and Aleutian Islands,1976,6.46,0.407
4346,Tanner crab Bering Sea and Aleutian Islands,1977,4.38,0.78
4347,Tanner crab Bering Sea and Aleutian Islands,1978,2.99,0.862
4348,Tanner crab Bering Sea and Aleutian Islands,1979,1.99,1.91
4349,Tanner crab Bering Sea and Aleutian Islands,1980,1.31,2.24
4350,Tanner crab Bering Sea and Aleutian Islands,1981,1.45,0.412
4351,Tanner crab Bering Sea and Aleutian Islands,1982,1.49,0.147
4352,Tanner crab Bering Sea and Aleutian Islands,1983,1.2,0.047
4353,Tanner crab Bering Sea and Aleutian Islands,1984,0.707,0.142
4354,Tanner crab Bering Sea and Aleutian Islands,1985,0.647,0
4355,Tanner crab Bering Sea and Aleutian Islands,1986,0.802,0
4356,Tanner crab Bering Sea and Aleutian Islands,1987,1.2,0.083
4357,Tanner crab Bering Sea and Aleutian Islands,1988,1.76,0.167
4358,Tanner crab Bering Sea and Aleutian Islands,1989,2.1,0.484
4359,Tanner crab Bering Sea and Aleutian Islands,1990,1.99,0.786
4360,Tanner crab Bering Sea and Aleutian Islands,1991,1.82,0.713
4361,Tanner crab Bering Sea and Aleutian Islands,1992,1.43,1.15
4362,Tanner crab Bering Sea and Aleutian Islands,1993,1.17,0.675
4363,Tanner crab Bering Sea and Aleutian Islands,1994,0.942,0.368
4364,Tanner crab Bering Sea and Aleutian Islands,1995,0.701,0.218
4365,Tanner crab Bering Sea and Aleutian Islands,1996,0.569,0.125
4366,Tanner crab Bering Sea and Aleutian Islands,1997,0.489,0
4367,Tanner crab Bering Sea and Aleutian Islands,1998,0.432,0
4368,Tanner crab Bering Sea and Aleutian Islands,1999,0.426,0
4369,Tanner crab Bering Sea and Aleutian Islands,2000,0.477,0
4370,Tanner crab Bering Sea and Aleutian Islands,2001,0.584,0
4371,Tanner crab Bering Sea and Aleutian Islands,2002,0.704,0
4372,Tanner crab Bering Sea and Aleutian Islands,2003,0.862,0
4373,Tanner crab Bering Sea and Aleutian Islands,2004,1.08,0
4374,Tanner crab Bering Sea and Aleutian Islands,2005,1.34,0.025
4375,Tanner crab Bering Sea and Aleutian Islands,2006,1.52,0.045
4376,Tanner crab Bering Sea and Aleutian Islands,2007,1.68,0.047
4377,Tanner crab Bering Sea and Aleutian Islands,2008,2.02,0.041
4378,Tanner crab Bering Sea and Aleutian Islands,2009,2.13,0.074
4379,Tanner crab Bering Sea and Aleutian Islands,2010,1.96,0
4380,Tanner crab Bering Sea and Aleutian Islands,2011,1.77,0
4381,Tanner crab Bering Sea and Aleutian Islands,2012,1.77,0
4383,Tiger flathead Southeast Australia,1913,4.67,NA
4384,Tiger flathead Southeast Australia,1914,4.67,NA
4385,Tiger flathead Southeast Australia,1915,4.67,NA
4386,Tiger flathead Southeast Australia,1916,4.62,NA
4387,Tiger flathead Southeast Australia,1917,4.59,NA
4388,Tiger flathead Southeast Australia,1918,4.55,NA
4389,Tiger flathead Southeast Australia,1919,4.5,NA
4390,Tiger flathead Southeast Australia,1920,4.38,NA
4391,Tiger flathead Southeast Australia,1921,4.3,NA
4392,Tiger flathead Southeast Australia,1922,4.17,NA
4393,Tiger flathead Southeast Australia,1923,4.11,NA
4394,Tiger flathead Southeast Australia,1924,4.06,NA
4395,Tiger flathead Southeast Australia,1925,3.94,NA
4396,Tiger flathead Southeast Australia,1926,3.73,NA
4397,Tiger flathead Southeast Australia,1927,3.52,NA
4398,Tiger flathead Southeast Australia,1928,3.24,NA
4399,Tiger flathead Southeast Australia,1929,2.91,NA
4400,Tiger flathead Southeast Australia,1930,2.53,NA
4401,Tiger flathead Southeast Australia,1931,2.22,NA
4402,Tiger flathead Southeast Australia,1932,2.02,NA
4403,Tiger flathead Southeast Australia,1933,1.84,NA
4404,Tiger flathead Southeast Australia,1934,1.73,NA
4405,Tiger flathead Southeast Australia,1935,1.63,NA
4406,Tiger flathead Southeast Australia,1936,1.5,NA
4407,Tiger flathead Southeast Australia,1937,1.29,NA
4408,Tiger flathead Southeast Australia,1938,1.08,NA
4409,Tiger flathead Southeast Australia,1939,0.86,NA
4410,Tiger flathead Southeast Australia,1940,0.7,NA
4411,Tiger flathead Southeast Australia,1941,0.703,NA
4412,Tiger flathead Southeast Australia,1942,0.739,NA
4413,Tiger flathead Southeast Australia,1943,0.914,NA
4414,Tiger flathead Southeast Australia,1944,1.09,NA
4415,Tiger flathead Southeast Australia,1945,1,NA
4416,Tiger flathead Southeast Australia,1946,0.829,NA
4417,Tiger flathead Southeast Australia,1947,0.67,NA
4418,Tiger flathead Southeast Australia,1948,0.543,NA
4419,Tiger flathead Southeast Australia,1949,0.39,NA
4420,Tiger flathead Southeast Australia,1950,0.43,NA
4421,Tiger flathead Southeast Australia,1951,0.515,NA
4422,Tiger flathead Southeast Australia,1952,0.549,NA
4423,Tiger flathead Southeast Australia,1953,0.569,NA
4424,Tiger flathead Southeast Australia,1954,0.536,NA
4425,Tiger flathead Southeast Australia,1955,0.551,NA
4426,Tiger flathead Southeast Australia,1956,0.545,NA
4427,Tiger flathead Southeast Australia,1957,0.527,NA
4428,Tiger flathead Southeast Australia,1958,0.549,NA
4429,Tiger flathead Southeast Australia,1959,0.631,NA
4430,Tiger flathead Southeast Australia,1960,0.698,NA
4431,Tiger flathead Southeast Australia,1961,0.692,NA
4432,Tiger flathead Southeast Australia,1962,0.81,NA
4433,Tiger flathead Southeast Australia,1963,0.882,NA
4434,Tiger flathead Southeast Australia,1964,0.794,NA
4435,Tiger flathead Southeast Australia,1965,0.716,NA
4436,Tiger flathead Southeast Australia,1966,0.668,NA
4437,Tiger flathead Southeast Australia,1967,0.658,NA
4438,Tiger flathead Southeast Australia,1968,0.637,NA
4439,Tiger flathead Southeast Australia,1969,0.663,NA
4440,Tiger flathead Southeast Australia,1970,0.615,NA
4441,Tiger flathead Southeast Australia,1971,0.61,NA
4442,Tiger flathead Southeast Australia,1972,0.642,NA
4443,Tiger flathead Southeast Australia,1973,0.632,NA
4444,Tiger flathead Southeast Australia,1974,0.579,NA
4445,Tiger flathead Southeast Australia,1975,0.607,NA
4446,Tiger flathead Southeast Australia,1976,0.61,NA
4447,Tiger flathead Southeast Australia,1977,0.675,NA
4448,Tiger flathead Southeast Australia,1978,0.768,NA
4449,Tiger flathead Southeast Australia,1979,0.899,NA
4450,Tiger flathead Southeast Australia,1980,1.03,NA
4451,Tiger flathead Southeast Australia,1981,1.18,NA
4452,Tiger flathead Southeast Australia,1982,1.36,NA
4453,Tiger flathead Southeast Australia,1983,1.53,NA
4454,Tiger flathead Southeast Australia,1984,1.68,NA
4455,Tiger flathead Southeast Australia,1985,1.82,NA
4456,Tiger flathead Southeast Australia,1986,1.97,NA
4457,Tiger flathead Southeast Australia,1987,2.11,NA
4458,Tiger flathead Southeast Australia,1988,2.19,NA
4459,Tiger flathead Southeast Australia,1989,2.24,NA
4460,Tiger flathead Southeast Australia,1990,2.25,NA
4461,Tiger flathead Southeast Australia,1991,2.27,NA
4462,Tiger flathead Southeast Australia,1992,2.24,NA
4463,Tiger flathead Southeast Australia,1993,2.22,NA
4464,Tiger flathead Southeast Australia,1994,2.24,NA
4465,Tiger flathead Southeast Australia,1995,2.24,NA
4466,Tiger flathead Southeast Australia,1996,2.22,NA
4467,Tiger flathead Southeast Australia,1997,2.16,NA
4468,Tiger flathead Southeast Australia,1998,2.08,NA
4469,Tiger flathead Southeast Australia,1999,2.07,NA
4470,Tiger flathead Southeast Australia,2000,2.1,NA
4471,Tiger flathead Southeast Australia,2001,2.18,NA
4472,Tiger flathead Southeast Australia,2002,2.27,NA
4473,Tiger flathead Southeast Australia,2003,2.29,NA
4474,Tiger flathead Southeast Australia,2004,2.21,NA
4475,Tiger flathead Southeast Australia,2005,2.09,NA
4476,Tiger flathead Southeast Australia,2006,1.99,NA
4533,Tilefish Mid-Atlantic Coast,1971,4.25,0.006
4534,Tilefish Mid-Atlantic Coast,1972,4.18,0.012
4535,Tilefish Mid-Atlantic Coast,1973,4.05,0.04
4536,Tilefish Mid-Atlantic Coast,1974,5.25,0.048
4537,Tilefish Mid-Atlantic Coast,1975,3.76,0.079
4538,Tilefish Mid-Atlantic Coast,1976,4.61,0.089
4539,Tilefish Mid-Atlantic Coast,1977,3.86,0.212
4540,Tilefish Mid-Atlantic Coast,1978,3.32,0.375
4541,Tilefish Mid-Atlantic Coast,1979,2.71,0.529
4542,Tilefish Mid-Atlantic Coast,1980,2.12,0.639
4543,Tilefish Mid-Atlantic Coast,1981,1.53,0.836
4544,Tilefish Mid-Atlantic Coast,1982,1.06,0.715
4545,Tilefish Mid-Atlantic Coast,1983,0.883,0.672
4546,Tilefish Mid-Atlantic Coast,1984,0.743,0.863
4547,Tilefish Mid-Atlantic Coast,1985,0.582,1.02
4548,Tilefish Mid-Atlantic Coast,1986,0.516,0.773
4549,Tilefish Mid-Atlantic Coast,1987,0.532,1.17
4550,Tilefish Mid-Atlantic Coast,1988,0.436,0.829
4551,Tilefish Mid-Atlantic Coast,1989,0.405,0.307
4552,Tilefish Mid-Atlantic Coast,1990,0.419,0.577
4553,Tilefish Mid-Atlantic Coast,1991,0.405,0.801
4554,Tilefish Mid-Atlantic Coast,1992,0.397,0.956
4555,Tilefish Mid-Atlantic Coast,1993,0.341,1.27
4556,Tilefish Mid-Atlantic Coast,1994,0.288,0.722
4557,Tilefish Mid-Atlantic Coast,1995,0.27,0.615
4558,Tilefish Mid-Atlantic Coast,1996,0.254,0.828
4559,Tilefish Mid-Atlantic Coast,1997,0.245,1.2
4560,Tilefish Mid-Atlantic Coast,1998,0.243,1.07
4561,Tilefish Mid-Atlantic Coast,1999,0.237,0.517
4562,Tilefish Mid-Atlantic Coast,2000,0.282,0.403
4563,Tilefish Mid-Atlantic Coast,2001,0.323,0.57
4564,Tilefish Mid-Atlantic Coast,2002,0.345,0.497
4565,Tilefish Mid-Atlantic Coast,2003,0.45,0.429
4566,Tilefish Mid-Atlantic Coast,2004,0.59,0.395
4567,Tilefish Mid-Atlantic Coast,2005,0.76,0.292
4568,Tilefish Mid-Atlantic Coast,2006,0.85,0.379
4569,Tilefish Mid-Atlantic Coast,2007,0.823,0.428
4570,Tilefish Mid-Atlantic Coast,2008,0.823,0.418
4571,Tilefish Mid-Atlantic Coast,2009,0.871,0.365
4572,Tilefish Mid-Atlantic Coast,2010,0.881,0.302
4573,Tilefish Mid-Atlantic Coast,2011,0.968,0.258
4574,Tilefish Mid-Atlantic Coast,2012,1.01,0.275
4575,Walleye pollock Eastern Bering Sea,1964,0.21,NA
4576,Walleye pollock Eastern Bering Sea,1965,0.268,NA
4577,Walleye pollock Eastern Bering Sea,1966,0.319,NA
4578,Walleye pollock Eastern Bering Sea,1967,0.404,NA
4579,Walleye pollock Eastern Bering Sea,1968,0.498,NA
4580,Walleye pollock Eastern Bering Sea,1969,0.63,NA
4581,Walleye pollock Eastern Bering Sea,1970,0.789,NA
4582,Walleye pollock Eastern Bering Sea,1971,0.891,NA
4583,Walleye pollock Eastern Bering Sea,1972,0.856,NA
4584,Walleye pollock Eastern Bering Sea,1973,0.682,NA
4585,Walleye pollock Eastern Bering Sea,1974,0.467,NA
4586,Walleye pollock Eastern Bering Sea,1975,0.389,NA
4587,Walleye pollock Eastern Bering Sea,1976,0.402,NA
4588,Walleye pollock Eastern Bering Sea,1977,0.437,0.35
4589,Walleye pollock Eastern Bering Sea,1978,0.46,0.356
4590,Walleye pollock Eastern Bering Sea,1979,0.452,0.361
4591,Walleye pollock Eastern Bering Sea,1980,0.507,0.342
4592,Walleye pollock Eastern Bering Sea,1981,0.833,0.251
4593,Walleye pollock Eastern Bering Sea,1982,1.27,0.165
